epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1944.24,0.64517,0.58121,1.10395,0.73542,0.6917,0.72122,0.53749,1.08704,1.23126,1.60928,0.000619716,0.000619716,0.000619716
69,1972.71,0.65281,0.57364,1.10894,0.8186,0.59642,0.69234,0.508,1.13726,1.29611,1.64844,0.000612383,0.000612383,0.000612383
70,2001.05,0.63979,0.57015,1.10808,0.76118,0.57519,0.66391,0.48829,1.13291,1.25976,1.67191,0.000605051,0.000605051,0.000605051
71,2028.84,0.63536,0.55179,1.09619,0.74954,0.62012,0.68259,0.49979,1.1291,1.23795,1.63472,0.000597718,0.000597718,0.000597718
72,2056.76,0.63978,0.56269,1.09344,0.78949,0.60221,0.63663,0.46456,1.17864,1.39638,1.69148,0.000590385,0.000590385,0.000590385
73,2085.8,0.62956,0.56378,1.09745,0.7774,0.62604,0.67285,0.48634,1.15282,1.33709,1.67531,0.000583053,0.000583053,0.000583053
74,2114.66,0.61777,0.54476,1.08935,0.74234,0.67025,0.70006,0.52145,1.10752,1.20981,1.61345,0.00057572,0.00057572,0.00057572
75,2143.24,0.61748,0.55166,1.08111,0.72572,0.6634,0.68339,0.50413,1.11689,1.33997,1.63696,0.000568388,0.000568388,0.000568388
76,2172.04,0.61659,0.5555,1.09144,0.78735,0.67067,0.7161,0.52396,1.07584,1.20369,1.60471,0.000561055,0.000561055,0.000561055
77,2200.34,0.62037,0.54792,1.08704,0.76192,0.62398,0.70348,0.51543,1.12265,1.31729,1.66604,0.000553722,0.000553722,0.000553722
78,2228.36,0.60967,0.53388,1.08201,0.73725,0.67352,0.68975,0.48823,1.19564,1.36204,1.75134,0.00054639,0.00054639,0.00054639
79,2256.76,0.61582,0.5366,1.09046,0.8305,0.62006,0.69096,0.49943,1.11669,1.2589,1.64326,0.000539057,0.000539057,0.000539057
80,2284.69,0.60407,0.53552,1.08204,0.78288,0.63349,0.68438,0.49412,1.13816,1.30114,1.6726,0.000531725,0.000531725,0.000531725
81,2313.9,0.60631,0.52824,1.07973,0.63237,0.64481,0.64864,0.47527,1.13119,1.38167,1.66806,0.000524392,0.000524392,0.000524392
82,2342.83,0.59838,0.55034,1.07968,0.79112,0.61558,0.67437,0.49468,1.14502,1.27913,1.68611,0.000517059,0.000517059,0.000517059
83,2370.95,0.607,0.53519,1.08001,0.77406,0.62062,0.69053,0.50597,1.12895,1.29375,1.66315,0.000509727,0.000509727,0.000509727
84,2399.17,0.58998,0.51334,1.07433,0.65841,0.65285,0.68441,0.51283,1.09583,1.23403,1.65574,0.000502394,0.000502394,0.000502394
85,2428.45,0.57765,0.50384,1.05695,0.75196,0.63949,0.68827,0.51569,1.09759,1.22673,1.64861,0.000495062,0.000495062,0.000495062
86,2456.81,0.60446,0.53056,1.0836,0.80562,0.60958,0.70073,0.51618,1.06312,1.22007,1.59007,0.000487729,0.000487729,0.000487729
87,2484.79,0.57906,0.49802,1.05661,0.78295,0.64398,0.69179,0.50692,1.13138,1.31309,1.70678,0.000480396,0.000480396,0.000480396
88,2513.7,0.57894,0.49688,1.06468,0.7175,0.65255,0.6979,0.51404,1.10045,1.28576,1.63743,0.000473064,0.000473064,0.000473064
89,2541.79,0.57301,0.50049,1.0583,0.7296,0.63303,0.68723,0.5067,1.11855,1.37089,1.66483,0.000465731,0.000465731,0.000465731
90,2569.57,0.56136,0.47397,1.05409,0.75963,0.64723,0.69355,0.51425,1.10322,1.26719,1.65032,0.000458399,0.000458399,0.000458399
91,2598.35,0.56345,0.4885,1.05548,0.77149,0.59281,0.66559,0.48997,1.11868,1.31917,1.67083,0.000451066,0.000451066,0.000451066
92,2625.81,0.56101,0.48433,1.05155,0.78994,0.61635,0.69203,0.52258,1.08777,1.27707,1.6532,0.000443733,0.000443733,0.000443733
93,2654.42,0.56145,0.48139,1.05448,0.76999,0.62335,0.69836,0.52074,1.0935,1.31821,1.63994,0.000436401,0.000436401,0.000436401
94,2682.88,0.57108,0.48339,1.06,0.7198,0.66111,0.6728,0.51239,1.07172,1.25367,1.61155,0.000429068,0.000429068,0.000429068
95,2711.59,0.55628,0.48262,1.05986,0.7556,0.6383,0.69613,0.52377,1.09536,1.23259,1.65083,0.000421736,0.000421736,0.000421736
96,2739.44,0.56189,0.48237,1.04093,0.74751,0.67037,0.69874,0.51315,1.11307,1.23322,1.67215,0.000414403,0.000414403,0.000414403
97,2768.31,0.53711,0.46033,1.04389,0.85319,0.59729,0.69319,0.50923,1.1314,1.28576,1.68184,0.00040707,0.00040707,0.00040707
98,2797.09,0.54754,0.46365,1.04197,0.82181,0.64737,0.71043,0.51757,1.09421,1.17377,1.65271,0.000399738,0.000399738,0.000399738
99,2824.41,0.54237,0.46449,1.03663,0.78575,0.63769,0.68696,0.52114,1.0912,1.25202,1.65466,0.000392405,0.000392405,0.000392405
100,2852.96,0.5345,0.45379,1.03996,0.80129,0.63222,0.70811,0.5325,1.07388,1.24341,1.63955,0.000385073,0.000385073,0.000385073
101,2881.74,0.53446,0.45211,1.04378,0.86245,0.62891,0.73582,0.54019,1.08713,1.17229,1.65511,0.00037774,0.00037774,0.00037774
102,2910.64,0.53052,0.44666,1.03199,0.79923,0.64943,0.74125,0.53764,1.1144,1.29117,1.68106,0.000370407,0.000370407,0.000370407
103,2938.53,0.52773,0.44549,1.03849,0.81111,0.62744,0.707,0.53098,1.07642,1.22059,1.65265,0.000363075,0.000363075,0.000363075
104,2966.72,0.51924,0.4503,1.0336,0.78328,0.66487,0.72085,0.52942,1.12006,1.21313,1.67313,0.000355742,0.000355742,0.000355742
105,2995.16,0.52242,0.44379,1.02901,0.75852,0.65395,0.7079,0.51902,1.11126,1.30363,1.66607,0.00034841,0.00034841,0.00034841
106,3023.16,0.51671,0.4369,1.02436,0.83718,0.64499,0.71118,0.53085,1.11873,1.23128,1.67154,0.000341077,0.000341077,0.000341077
107,3052.14,0.53119,0.46146,1.03964,0.77473,0.68,0.71681,0.53616,1.0999,1.25022,1.68794,0.000333744,0.000333744,0.000333744
108,3079.21,0.51644,0.44095,1.02759,0.84448,0.63529,0.71847,0.53726,1.10741,1.17872,1.71527,0.000326412,0.000326412,0.000326412
109,3107.14,0.52157,0.44244,1.03061,0.73881,0.68116,0.72126,0.53029,1.1069,1.30953,1.69599,0.000319079,0.000319079,0.000319079
110,3135.54,0.50172,0.42407,1.02183,0.80863,0.65391,0.7312,0.54123,1.11128,1.22001,1.68935,0.000311747,0.000311747,0.000311747
111,3163.92,0.50202,0.41535,1.02584,0.78724,0.67257,0.72206,0.5462,1.08375,1.23353,1.68172,0.000304414,0.000304414,0.000304414
112,3192.46,0.50971,0.4242,1.02074,0.78754,0.65846,0.71293,0.53641,1.09399,1.18885,1.67371,0.000297081,0.000297081,0.000297081
113,3220.06,0.50179,0.41994,1.0163,0.79029,0.64178,0.71137,0.53163,1.08415,1.24837,1.65959,0.000289749,0.000289749,0.000289749
114,3248.3,0.49785,0.42891,1.0149,0.80459,0.64137,0.71575,0.52644,1.13814,1.3144,1.73327,0.000282416,0.000282416,0.000282416
115,3277.41,0.4916,0.40459,1.00923,0.82411,0.65061,0.72971,0.54423,1.06957,1.18397,1.67373,0.000275084,0.000275084,0.000275084
116,3304.7,0.49476,0.40936,1.01546,0.78482,0.68532,0.74879,0.55914,1.07266,1.19227,1.66697,0.000267751,0.000267751,0.000267751
117,3333.19,0.47778,0.4002,1.00572,0.82078,0.66883,0.72897,0.54322,1.11652,1.23427,1.70875,0.000260418,0.000260418,0.000260418
118,3360.65,0.47202,0.40128,1.00937,0.83719,0.66104,0.72199,0.54195,1.09484,1.21653,1.69014,0.000253086,0.000253086,0.000253086
119,3388.48,0.48677,0.40497,1.0131,0.87734,0.64813,0.73525,0.55321,1.07344,1.18243,1.64716,0.000245753,0.000245753,0.000245753
120,3416.77,0.4814,0.4034,1.00851,0.83471,0.66303,0.73578,0.55297,1.0887,1.24119,1.7015,0.000238421,0.000238421,0.000238421
121,3445.17,0.48163,0.39694,1.00528,0.78587,0.67162,0.7279,0.54021,1.08828,1.20251,1.67999,0.000231088,0.000231088,0.000231088
122,3475.13,0.46612,0.39872,1.00472,0.76916,0.65784,0.72632,0.53891,1.0729,1.25013,1.64912,0.000223755,0.000223755,0.000223755
123,3504.48,0.47969,0.39967,1.01214,0.84288,0.60568,0.71837,0.53764,1.08818,1.22706,1.66886,0.000216423,0.000216423,0.000216423
124,3532.51,0.4628,0.38201,0.99416,0.79199,0.6503,0.72056,0.53664,1.09806,1.24154,1.68079,0.00020909,0.00020909,0.00020909
125,3562.19,0.4667,0.39241,1.00376,0.7894,0.62424,0.71538,0.53335,1.0926,1.27235,1.69833,0.000201758,0.000201758,0.000201758
126,3589.11,0.46944,0.388,1.00283,0.82589,0.63981,0.70126,0.52545,1.08037,1.23894,1.68897,0.000194425,0.000194425,0.000194425
127,3616.11,0.46622,0.3905,0.99547,0.76933,0.66594,0.70505,0.53073,1.07896,1.23239,1.65548,0.000187092,0.000187092,0.000187092
128,3645.84,0.45723,0.38751,0.99388,0.79617,0.62553,0.71246,0.54349,1.06188,1.23016,1.65017,0.00017976,0.00017976,0.00017976
129,3674.72,0.45782,0.39067,0.99961,0.82792,0.63546,0.71486,0.54317,1.06932,1.25206,1.67781,0.000172427,0.000172427,0.000172427
130,3702.92,0.45185,0.37977,0.99377,0.80887,0.63993,0.73135,0.54925,1.05335,1.20661,1.66685,0.000165095,0.000165095,0.000165095
131,3730.87,0.44301,0.37572,0.99467,0.79969,0.67071,0.73882,0.55533,1.07066,1.18045,1.6683,0.000157762,0.000157762,0.000157762
132,3758.95,0.43964,0.36707,0.9884,0.83783,0.64969,0.73681,0.55178,1.06047,1.19359,1.6555,0.000150429,0.000150429,0.000150429
133,3787.42,0.45316,0.38752,0.99333,0.82327,0.64739,0.72826,0.54557,1.08485,1.23605,1.67712,0.000143097,0.000143097,0.000143097
134,3816.47,0.46021,0.38534,0.999,0.8003,0.66493,0.73431,0.53952,1.08662,1.2313,1.691,0.000135764,0.000135764,0.000135764
135,3844.49,0.44666,0.37123,0.99337,0.79653,0.65499,0.72723,0.54782,1.07334,1.24678,1.68205,0.000128432,0.000128432,0.000128432
136,3872.51,0.44522,0.36583,0.98709,0.78648,0.66769,0.73907,0.55408,1.07512,1.23116,1.68327,0.000121099,0.000121099,0.000121099
137,3901.02,0.44361,0.36792,0.98883,0.79826,0.66078,0.72435,0.54619,1.07181,1.23996,1.67922,0.000113766,0.000113766,0.000113766
138,3929.87,0.43347,0.36782,0.99353,0.78189,0.64995,0.72868,0.54959,1.06493,1.21491,1.66887,0.000106434,0.000106434,0.000106434
139,3958.52,0.4288,0.36664,0.98082,0.8311,0.63818,0.73278,0.55421,1.06212,1.22103,1.67578,9.91012e-05,9.91012e-05,9.91012e-05
140,3987.68,0.43627,0.36725,0.98829,0.81038,0.64546,0.73108,0.5602,1.07455,1.23251,1.67732,9.17686e-05,9.17686e-05,9.17686e-05
141,4018.73,0.38064,0.3133,0.94917,0.75258,0.69249,0.72459,0.54311,1.09345,1.1856,1.73658,8.4436e-05,8.4436e-05,8.4436e-05
142,4045.36,0.35724,0.27952,0.93232,0.75983,0.67483,0.72296,0.54794,1.07236,1.13207,1.71108,7.71034e-05,7.71034e-05,7.71034e-05
143,4073.81,0.34724,0.26127,0.92818,0.78209,0.66763,0.71898,0.54616,1.05969,1.15075,1.68037,6.97708e-05,6.97708e-05,6.97708e-05
144,4100.9,0.3299,0.25063,0.90933,0.82235,0.64882,0.72121,0.54964,1.06643,1.17383,1.68668,6.24382e-05,6.24382e-05,6.24382e-05
145,4127.54,0.32829,0.24714,0.91503,0.82994,0.6582,0.72861,0.55445,1.06853,1.16503,1.69442,5.51056e-05,5.51056e-05,5.51056e-05
146,4154.19,0.33366,0.25349,0.90991,0.8043,0.67245,0.73261,0.55518,1.07582,1.18012,1.71056,4.7773e-05,4.7773e-05,4.7773e-05
147,4180.74,0.32945,0.25125,0.91418,0.80966,0.663,0.73156,0.56215,1.05747,1.18847,1.68772,4.04404e-05,4.04404e-05,4.04404e-05
148,4208.93,0.31636,0.24132,0.90689,0.8102,0.6634,0.73698,0.55946,1.07593,1.19803,1.70203,3.31078e-05,3.31078e-05,3.31078e-05
149,4235.65,0.31758,0.24179,0.9118,0.82123,0.65399,0.74521,0.56285,1.06824,1.18324,1.70116,2.57752e-05,2.57752e-05,2.57752e-05
150,4261.56,0.32086,0.24653,0.91706,0.80415,0.66407,0.74525,0.56386,1.07063,1.1787,1.70104,1.84426e-05,1.84426e-05,1.84426e-05
